Prop_ID,Name,Location,Num_of_Courts,lat,lon,Borough
B220,Washington & Hall Park,Washington Ave & Hall St.,4,40.6952,-73.9668,Brooklyn
B252,West Playground,Ave Z & West 1st,4,40.5868,-73.9698,Brooklyn
B051,William E. Kelly Memorial Park,Ave S & 14th St,2,40.6039,-73.9572,Brooklyn
B051,William Kelly Playground,Ave S & 14th St,4,40.6038,-73.9571,Brooklyn
B348,Willoughby Playground,Willoughby Thompkin Ave & Willoughby St.,2,40.6947,-73.9469,Brooklyn
M056,123rd Morningside Park,Morningside & 121 Street,4,40.8094,-73.9561,Manhattan
M124,1st Street Playground,East 1st St. & 1st Ave.,4,40.7235,-73.9896,Manhattan
M108Q,24 Sycamores Playground,York & 61 Street,2,40.7593,-73.9586,Manhattan
M194,Al Smith Recreation Center,Catherine Slip & Monroe St.,2,40.7102,-73.9981,Manhattan
M164,Asser Levy Playground,East 23 Street & FDR,4,40.7368,-73.9752,Manhattan
M165,Baruch Playground,Irvington & Baruch Pl.,4,40.7176,-73.9763,Manhattan
M214,Blake Hobbs Playground,104 & 2 Avenue,4,40.7884,-73.9445,Manhattan
M200,Booker T. Washington Playground,107 St.& Columbus,4,40.8014,-73.9642,Manhattan
M155,C. Callendar,130 & 5 Avenue,2,40.8101,-73.9404,Manhattan
M018,Carmansville Playground,Amsterdam & 151 Street,2,40.8293,-73.944,Manhattan
M011,Chelsea Park,9th Ave. & 27th St.,6,40.75,-74.0005,Manhattan
M171,Cherry Clinton,Cherry & Water St.,4,40.7113,-73.9861,Manhattan
M215,Cherry Tree Playground,99 Street & 3 Avenue,2,40.7873,-73.9469,Manhattan
M186,Col. Young,143 & Harlem River,12,40.8186,-73.9349,Manhattan
M208E,Crack is Wack! Playground,128 & 2 Avenue,2,40.8047,-73.9318,Manhattan
M022,De Witt Clinton Park,53rd St. & 12th Ave.,4,40.7686,-73.9944,Manhattan
M066,Dr. Gertrude B. Kelly Playground,West 17th St. & 8th Ave.,3,40.7417,-74.0021,Manhattan
M217,Howard Bennett Playground,135 & Lenox,4,40.8134,-73.9385,Manhattan
M208A,Each One Teach One,128 & 3Ave,4,40.8064,-73.9353,Manhattan
M159,Frederick Johnson Playground,7 Avenue & 150 Street,8,40.8245,-73.9351,Manhattan
M221,Gutenberg,"N/S W 49 ST, 9 & 10 Aves",3,40.7633,-73.9899,Manhattan
M033,Hamilton Fish Park,128 Pitt St.,2,40.7193,-73.9804,Manhattan
M041,Hamilton Place Playground,W 140 & Hamilton Pl,2,40.8231,-73.9515,Manhattan
M277,Hell's Kitchen Park,47th St. & 10th Ave.,2,40.7631,-73.9924,Manhattan
M228,Henry Jackson Playground,Jackson St. & Henry St.,4,40.7139,-73.9818,Manhattan
M216,Holcombe Rucker Playground,156 & 8 Ave,4,40.8294,-73.9361,Manhattan
M042,Inwood Park,207 & Seaman Ave,8,40.8698,-73.9225,Manhattan
M099,J. Hood Wright Park,176 St. & Ft. Washington Ave,2,40.8471,-73.9407,Manhattan
M038,J.J. Walker Park,Hudson & Leroy St.,4,40.7296,-74.0059,Manhattan
M223,Jacob Schiff Playground (P.S. 192),Amsterdam & 136 St.,6,40.8203,-73.9526,Manhattan
M111,James Weldon Johnson Playground,115 St. & Lexington Ave.,2,40.7974,-73.942,Manhattan
M045,John Jay Park,E 77 St & Cherokee Pl.,4,40.7692,-73.9501,Manhattan
M132,LaGuardia Playground,Madison St. off Jefferson St.,2,40.7123,-73.9887,Manhattan
M065,Luther Gulick Park,Columbia & Delancey Streets,4,40.7162,-73.9823,Manhattan
M213,Mae Grant Playground,104 & Madison,2,40.7925,-73.9492,Manhattan
M154,May Matthews Playground,46th St. & 9th Ave.,2,40.7616,-73.9927,Manhattan
M059,Murphy's Brother,17 St. & Ave.C St.,1,40.7303,-73.9737,Manhattan
M241,Nathan Straus Park,Rivington & Attorney St.,2,40.7193,-73.9844,Manhattan
M010,North Meadow Recreation Center,Mid-park at 97th Street,8,40.7914,-73.9593,Manhattan
M234,Orville & Wilbur Playground,St. Nick Avenue & West 156 Street,2,40.8319,-73.9421,Manhattan
M205,P.S. 125,Morningside & 125 St.,4,40.8112,-73.9564,Manhattan
M239,P.S. 155,118 & 2 Avenue,2,40.7971,-73.9353,Manhattan
M233,Playground 70,70 Street & Amsterdam,2,40.7771,-73.9839,Manhattan
M230,Poor Richard's Playground,109 Street & 3 Avenue,2,40.7924,-73.9423,Manhattan
M245,Renaissance Playground (P.S. 194),144 & 8 Avenue,2,40.8215,-73.9414,Manhattan
M158,Robert Moses Playground,42 St. & FDR,2,40.7478,-73.9689,Manhattan
M190,Sheltering Arms Park,W 126 & Amsterdam,4,40.8147,-73.9559,Manhattan
M244,Sol Bloom Playground,West 92 Street & Columbus,2,40.7896,-73.9691,Manhattan
M079,St. Catherine's Playground,1st Ave & 27 St.,2,40.7654,-73.9591,Manhattan
M198,"St. Nick Terrace "" Martin Luther King Houses Playground",114 & Lenox,4,40.8002,-73.9506,Manhattan
M076,St. Vartan's Park,2 Ave & East 35 Street,4,40.7457,-73.9749,Manhattan
M192,Stanley M. Isaacs Courts,FDR & 97 ST,8,40.7836,-73.944,Manhattan
M069,Thompson Street Playground/Vesuvio Playground,Tompson Street & Spring Street,3,40.7252,-74.0026,Manhattan
M265,"Vincent F. Albano, Jr. Playground",2 Avenue & 29 Street,2,40.7422,-73.9786,Manhattan
M225,Wagner Playground,122 Street & 2 Avenue,2,40.8001,-73.9351,Manhattan
M125C,West 4th Street Courts,Avenue of the Americas between West 3rd and 4th streets,3,40.7311,-74.0009,Manhattan
M148,White Playground,106 Street & 3 Avenue,2,40.7917,-73.9456,Manhattan
Q318,80 AVENUE P/G(PS 115),"80 AVE, 261-262 STS",2,40.7449,-73.7099,Queens
Q338,"ADMIRAL PARK(PS 94,SY SEPLOWE)","LITTLE NECK PKWY, 42-43 AVES",0,40.7711,-73.738,Queens
Q051,ALBANS PARK,"MERRICK BLVD, 173 PL, SAYERS AVE",4,40.6937,-73.7798,Queens
Q356,ALLEY P/G(PS 213),67 AVE & 230 ST,4,40.7473,-73.7446,Queens
Q001A,ALLEY PK ATHLETIC FIELD,"UNION TPKE, GRAND CENTRAL PKWYS, WINCHESTER BLVD",4,40.7387,-73.7378,Queens
Q443,ALMEDA PLAYGROUND(PS 42),"B 65 ST, BCH CHANNEL DR",2,40.5935,-73.7946,Queens
Q319,ANNADALE PLAYGROUND(PS 175),YELLOWSTN BLVD/65 RD-65 AVE,2,40.7314,-73.8517,Queens
Q313,ARVERNE PLAYGROUND,ARVERNE BLVD & B 55 ST,2,40.5931,-73.785,Queens
Q014,ASTORIA HEIGHTS P/G (JHS 10),"30 RD, 45-46 STS",6,40.76,-73.9123,Queens
Q399,BAY TERRACE P/G(PS 169),NE CORNER 212 ST & 23 AVE,2,40.7821,-73.7777,Queens
Q389,BAYSIDE P/G (JHS 180),BCH CHANNEL DR & SEASIDE,2,40.5851,-73.8252,Queens
Q162E,BEACH 59TH ST P/G,BOARDWALK & BEACH 59-60 STS,2,40.589,-73.7889,Queens
Q162J01,BEACH 9TH ST P/G,BEACH 9 ST & SEAGIRT BLVD,4,40.5955,-73.7448,Queens
Q403,BEACH CHANNEL PLGD (PS 183),S/S HMLS BLVD/B 80-79 STS/BCH CH,2,40.5888,-73.8062,Queens
Q322,BELLAIRE P/G(PS 135),"HILLSIDE AVE, 207 & 208 STS",4,40.7214,-73.7581,Queens
Q328,BELLEROSE P/G(PS 133),"85 AVE, 248-249 STS",2,40.733,-73.7183,Queens
Q326,James A. Bland Playground,"40 Rd, Prince & Main Sts",2,40.7583,-73.8308,Queens
Q308,BOWNE PLAYGROUND(PS 20),SANFORD AV/BARCLAY AV/UNION/BOWNE,2,40.7582,-73.8246,Queens
Q134,BREININGER PARK,BRADDOCK AVE & 240 ST,6,40.7257,-73.7287,Queens
Q379,BRIARWOOD P/G(JHS 217),148 ST & 85 AVE,2,40.71,-73.8108,Queens
Q360U,BRIDGE AND TUNNEL PARK,"TUNNEL PLAZA, 50 AVE, 11 ST",2,40.742,-73.9512,Queens
Q460,BROAD CHANNEL PARK,"CROSS BAY BLVD, EAST 16TH RD",6,40.6015,-73.8199,Queens
Q008,BROOKVILLE P/G,BROOKVILLE BLVD & 143 AVE,2,40.6638,-73.741,Queens
Q361,C C MOORE HOMESTEAD PARK,"BROADWAY, 45 AVE & 82 ST",6,40.7418,-73.8828,Queens
Q339,CABBELL PARK,"121 AVE & 220 ST, FRANCIS LEWIS BL",4,40.6889,-73.7423,Queens
Q386,CENTERVILLE P/G,"96 ST, CENTERVILLE ST, ALBERT RD",2,40.6705,-73.8393,Queens
Q346,CHALLENGE P/G(PS 187),W/S 251 ST BET 61 & 63 AVES,4,40.7561,-73.7278,Queens
Q390,CLINTONVILLE P/G(JHS 194),"CLINTONVILLE ST, BET 17 AVE, 17",2,40.7835,-73.8082,Queens
Q347,COLDEN P/G(PS 214),UNION ST & 31 RD,2,40.7699,-73.8276,Queens
Q457,COLLEGE POINT PARK,"14 AVE, 121 ST, COLLEGE PT BLVD",2,40.7857,-73.8465,Queens
Q394,CONCH PLAYGROUND(PS 105),BCH CHANNEL DR & B 49 ST,4,40.596,-73.7803,Queens
Q450,CORONA GOLF P/G,109 ST BET 46-47 AVES,2,40.7476,-73.8545,Queens
Q360J,CROWLEY P/G,"N/S QNS MDTWN EXWY, 84 ST-57 AVE",4,40.7299,-73.8792,Queens
Q106,DANIEL M OCONNELL P/G,"113 & MURDOCK AVES, 196 ST",4,40.6994,-73.7578,Queens
Q307,DELPHIN H GREENE P/G(PS 176),121 AVE & 237 ST,4,40.6855,-73.7288,Queens
Q385,DITMARS PARK,23 AVE/DITMARS BLVD/STEINWY ST,2,40.7719,-73.9066,Queens
Q220C,DR CHARLES R DREW MEMORIAL PK,"VAN WYCK EXWY, 116 AVE, 140 ST,",6,40.6803,-73.8021,Queens
Q218,DUTCH KILLS P/G (PS 112),"37 AVE, 28 ST, 36 AVE,CRESENT ST",2,40.7574,-73.9326,Queens
Q373,EAST ELMHURST P/G(PS 127),25 AVE BET 98 & 100 STS,2,40.7661,-73.8715,Queens
Q404,EAST SPRINGFIELD P/G(PS 147),115 RD BET 218-219 STS,4,40.6984,-73.7397,Queens
Q304,EHRENREICH-AUSTIN P/G,AUSTIN ST BET 76 AVE & 76 DRIVE,2,40.715,-73.8364,Queens
Q344,EMERALD P/G(PS 200),164 ST BET JEWEL & 71 AVES,2,40.7315,-73.8061,Queens
Q221,FARM P/G (PS 26),"73 AVE, 196TH STREET",6,40.7354,-73.7767,Queens
Q381,FRANCIS LEWIS P/G(PS 130),42 AVE AT FRANCIS LEWIS BLVD,2,40.7606,-73.7845,Queens
Q098,FRANK D. O'CONNOR P/G,"BROADWAY, 78 TO 79 STS",4,40.7441,-73.8862,Queens
Q119,FREDERICK B JUDGE P/G,"111 AVE, 134-135 STS, LINCOLN ST",4,40.6835,-73.8082,Queens
Q360M,FRONTERA PARK,58 AVE BE BROWN PL & 69 ST,2,40.7249,-73.8957,Queens
Q085,GORMAN P/G,"30 AVE, 84 - 85 ST, 25 AVE",4,40.762,-73.8841,Queens
Q353,GRASSMERE PLAYGROUND(PS 215),"GRASSMERE TERR, BRKHAVEN AVE, BR",2,40.599,-73.7587,Queens
Q358,GUNN PARK (PS 18),"S/S HILLSIDE AVE, E/O 235 CT",4,40.7318,-73.7315,Queens
Q359,HAGGERTY PARK,S/S JAMAICA AVE BET 202-204 STS,4,40.7126,-73.7578,Queens
Q226,Hallets Cove Playground,HALLETS COVE & VERNON BLVD,4,40.7719,-73.9343,Queens
Q367,HAMMEL PLAYGROUND,B 83 ST & ROCKAWAY BCH BLVD,2,40.5884,-73.8093,Queens
Q357B01,HANDBALL HAVEN,102 ST/62 AVE/YELLOWSTONE BLVD,2,40.7361,-73.8552,Queens
Q408,HAROLD SCHNEIDERMAN P/G(PS232),155 AVE BET 84 & 85 ST,2,40.6649,-73.8502,Queens
Q120,HARVARD P/G,"179 PL, N/O JAMAICA AVE",2,40.7089,-73.7814,Queens
Q352,HILLSIDE PARK(JHS 172),"82 AVE, 256 - 257 STS",2,40.7406,-73.7131,Queens
Q360N,HOFFMAN PARK,HOFFMAN DR & SEABURY ST,4,40.7325,-73.8728,Queens
Q405,HOLLIS PLAYGROUND(JHS 192),"HOLLIS AVE, 205 ST, 111",4,40.7066,-73.7529,Queens
Q300B,Holy Cow P/G (PS 179),HRC HDNG BLVD/ 199 STREET,4,40.7421,-73.7785,Queens
Q105,HOWARD VON DOHLEN P/G,"ARCHER AVE, 138 PL, 91 AVE, 138",3,40.6991,-73.813,Queens
Q066F,HOYT PLAYGROUND,"HOYT AVE, 29 TO 31 STS",4,40.7714,-73.9169,Queens
Q301,JAMAICA PLAYGROUND(PS 40),109 ST/BRNKRHOFF AVE/106/UNION H,8,40.6929,-73.7908,Queens
Q285,JOHN ADAMS P/G,"133 AVE, 101 TO 103 STS",2,40.6774,-73.8356,Queens
Q391,JOSEPH AUSTIN P/G,GRND CENT PKWY BET 164 PL & 168,6,40.7161,-73.8015,Queens
Q094,JOSEPH P. ADDABBO PLAYGROUND,"BET 81-82 STS, N CONDUIT AVE",6,40.6729,-73.8542,Queens
Q122,JUNCTION P/G,"96 ST, 34 AVE, JUNCTION BLVD",2,40.7545,-73.8719,Queens
Q102,JUNIPER NORTH PLGD (TENNIS),"77 PL, JUNIPER BLVD",10,40.7211,-73.8772,Queens
Q121,"K.L.WILLIAMS (P/G, TENNIS)","LIBERTY AVE, 172-173 STS",4,40.7042,-73.7851,Queens
Q300A,KISSENA CORRIDOR PK,PCK/UNDRHL AVES/UTOPIA PKY/HRC H,4,40.7448,-73.787,Queens
Q407,Lannett Playground,"B 8 ST, LANETT AVE, B 9 ST",2,40.5995,-73.744,Queens
Q108,LAURELTON P/G,"BROOKVILLE BLVD, S/O 136 AVE",4,40.6692,-73.7372,Queens
Q096E,LEFFERTS P/G,"N CONDUIT AVE, 120-122 STS",2,40.6656,-73.8206,Queens
Q330,LOCUST MANOR P/G(PS 15),"192 ST, S/S 121 AVE",2,40.6857,-73.7562,Queens
Q128,LONDON PLANETREE P/G,"88-89 STS, ATLANTIC TO 95 AVES",8,40.6866,-73.8536,Queens
Q415,LOUIS ARMSTRONG P/G(PS 143),37 AVE BET 112 & 113 STS,4,40.7549,-73.8558,Queens
Q369,LOUIS PASTEUR PARK(JHS 67),52 AVE BET 248 ST & MARATHON PKW,6,40.7619,-73.7351,Queens
Q020,HIGHLAND PARK,JAMAICA AVE & ELTON ST,10,40.6842,-73.8881,Queens
Q305,MAFERA PARK,65 PL & 68 AVE,4,40.706,-73.891,Queens
Q220G,MANTON P/G,VAN WYCK EXWY/84 RD/MANTON ST/83,4,40.7123,-73.8213,Queens
Q211,MAPLE PLAYGROUND,KISSENA BLVD & MAPLE AVE,2,40.7556,-73.8263,Queens
Q127,MARCONI PARK,"109 AVE, 157 ST, 108 AVE, 155 ST",8,40.6942,-73.7953,Queens
Q364,MARIE CURIE PARK(JHS 158),46 AVE & 211 ST,2,40.757,-73.771,Queens
Q337,MAURICE A FITZGERALD P/G,ATLANTIC AVE BET 104/106 STS,4,40.6903,-73.8402,Queens
Q096C,MENTONE PLAYGROUND,"SOUTHERN PKWY, 231-234 STS",2,40.6663,-73.742,Queens
Q402,MERRICK PLAYGROUND(IS 8),167 ST & 109 AVE,2,40.6964,-73.786,Queens
Q007,MICHAELIS-BAYSWATER PK,BCH CHNL DR/B 32 ST/DWIGHT- NORTO,6,40.5995,-73.7673,Queens
Q396,MONTBELLIER PARK,SPRNGFLD BLVD BET ESTGATE PLAZA,2,40.6738,-73.7564,Queens
Q366,MOSER PARK,"W/S 77 ST, N/S 25 AVE",2,40.7631,-73.8924,Queens
Q437,MURRAY HILL P/G(PS 22),"156-MURRAY ST, BARCLAY-SANFORD A",2,40.7617,-73.8115,Queens
Q141,MURRAY PLAYGROUND,"21 ST, 45 AVE, 11 ST, 45 RD",4,40.7473,-73.9497,Queens
Q210,NAUTILUS P/G,"MERRICK BLVD, 120 AVE, BAISLEY B",2,40.6847,-73.7704,Queens
Q426,NORTH ROCHDALE P/G(PS 30),BAISLEY BLVD & BEDELL ST,2,40.6799,-73.7754,Queens
Q363,NORTHERN P/G(PS 149),NORTHERN BLVD & 93 ST,2,40.7563,-73.8749,Queens
Q400,OAKLAND GARDENS(PS 203),E/S SPRINGFIELD BLVD & 54 AVE,2,40.7537,-73.7595,Queens
Q430,P.S. 195 Playground/Sunrise Playground,149 RD/WELLER LANE/149 AVE/253 ST,2,40.6529,-73.7365,Queens
Q306,PAINTER'S P/G(PS 174),ALDERTON ST/DIFTERLE-ELWELL CRES,4,40.7206,-73.8599,Queens
Q298,PAUL RAIMONDA P/G,"47 RO 48 STS, 20 AVE",4,40.7729,-73.897,Queens
Q351,PETERS FIELD,"LIBERTY AVE, 183 PL, 104 AVE",2,40.7064,-73.7751,Queens
Q362,PLAYGROUND NINETY (PS 148 P/G),NORTHERN BLVD & 90 ST,4,40.7574,-73.8788,Queens
Q334,PLAYGROUND TWENTY-ONE(PS 184),"163-166 STS, 21 AVE - 21 RD",4,40.7784,-73.7984,Queens
Q118,PO NICHOLAS DEMUTIIS PK(OZONE),"LIBERTY AVE, 101-102 STS",2,40.6821,-73.8392,Queens
Q092,POL. OFC EDWARD BYRNE PARK,N CONDUIT AVE/134-135 ST/135 AV,4,40.6672,-73.8067,Queens
Q329,POMONOK P/G(PS 201),"KISSENA BLVD, 65 AVE",8,40.7358,-73.8144,Queens
Q327,PS 186 P/G(CASTLEWOOD SCHOOL),LITTLE NECK PKWY & 72 AVE,2,40.7495,-73.7228,Queens
Q333,RAVENSWOOD P/G,"35 AVE, 21 ST, 34 AVE",6,40.7627,-73.9345,Queens
Q345,REDFERN PLAYGROUND,B 12 ST & REDFERN AVE,2,40.6113,-73.7489,Queens
Q423,REIFF PLAYGROUND,59 DRIVE/63 STREET/FRESH POND RD,2,40.7188,-73.9015,Queens
Q371,ROCKAWAY COMMUNITY PK,CONCH/SMRVLE-NORTON BASINS/ALMED,2,40.5983,-73.7854,Queens
Q414,ROCKET PARK (JHS 202)(GODDARD),"N CONDUIT AVE, ARION RD, 149 AVE",2,40.6706,-73.8464,Queens
Q398,Rosemary's Playground,WOODWARD/WOODBINE/FAIRVIEW/MADISON,0,40.7045,-73.9038,Queens
Q023,RUFUS KING PARK,"JAMAICA AVE, 153 ST, 89 AVE, 150 ST",2,40.7045,-73.8034,Queens
Q335,RUSSELL SAGE P/G(JHS 190),68 AVE/BOOTH TO AUSTIN STS,2,40.7238,-73.8519,Queens
Q293,SAUL WEPRIN P/G(PS 162 P/G),201-202 STS BET 53 & 56 AVES,4,40.7477,-73.7766,Queens
Q422,SEASIDE PLAYGROUND(PS 225),ST MARKS AVE & B 109 ST,2,40.5809,-73.8306,Queens
Q021C,SEVEN GABLES P/G (IS 74),"S/O LI EXWY, 21O & OCEANIA STS",2,40.7441,-73.7661,Queens
Q354,SEVENTY-FIVE P/G(PS 154),"75 AVE, 160-162 STS",2,40.7263,-73.8081,Queens
Q129,SMOKEY OVAL,95 AVE/127 ST/ATLANTIC AVE/125 ST,8,40.6948,-73.8209,Queens
Q131,SOUTH MAURICE SENIOR PLAYGROUND,"CENTER OF PARK, LIE SERVICE RD",2,40.7269,-73.9034,Queens
Q427,SOUTH ROCHDALE P/G(PS 80),133 ST & 137 AVE,2,40.6737,-73.7688,Queens
Q429,SPIRIT P/G(PS 76),36 AVE BET 9 & 10 STS,2,40.7615,-73.9416,Queens
Q406,SPRINGFIELD PARK NORTH-JHS 231,"SPRINGFIELD BLVD, 145 RD,",4,40.664,-73.7595,Queens
Q174A,ST MICHAELS PK,BKLYN-QUEENS EXPY FROM 30 AVE,4,40.7585,-73.9,Queens
Q291,STARR PLAYGROUND,ONDERDONK/WILLOUGHBY AVES/STARR ST,2,40.71,-73.9179,Queens
Q395,STEINWAY P/G(JHS 141),"20 RD, 20 AVE, 37-38 STS",2,40.7767,-73.9037,Queens
Q317,TALL OAK PLAYGROUND(PS 46),"64 AVE, 218-219 STS",2,40.7457,-73.7579,Queens
Q349,TELEPHONE P/G(PS 205),"BELL BLVD, 75 AVE & 217 ST",2,40.7385,-73.7569,Queens
Q044,THOMSON HILL P/G,,2,40.7414,-73.9224,Queens
Q340,TORSNEY PLAYGROUND,SKILLMAN AVE & 43 ST,4,40.7477,-73.9211,Queens
Q303,TRAVERS PARK,"34 AVE, 77-78 STS",4,40.7542,-73.8896,Queens
Q294,UTOPIA P/G,"73 AVE, JEWEL AVE, UTOPIA PKWY",4,40.7304,-73.7927,Queens
Q321,VAN ALST P/G(PS 171),"29 TO 30 AVES, 21 ST",2,40.7706,-73.9278,Queens
Q320,VLEIGH P/G(PS 165),70 RD/71 AVE/150 ST/KISSENA BLVD,4,40.7296,-73.8173,Queens
Q421,WALTER WARD PLAYGROUND(PS 207),89 ST & 160 AVE,2,40.6574,-73.8435,Queens
Q082,WAYANDA PARK(PS 34),HOLLIS AVE & ROBARD LANE,4,40.7112,-73.7384,Queens
Q022,WEEPING BEECH/ CARMAN GREEN,37 AV/PARSONS BLVD/BOWNE STREET,2,40.7637,-73.8248,Queens
Q266,WESTBOURNE PLAYGROUND(PS 104),"MOTT & WESTBOURN AVES, B 25 ST",4,40.608,-73.7644,Queens
Q031,WINDMULLER PK,52 ST/WDSDE AV/39RD/39DR,4,40.7477,-73.9108,Queens
Q332,WOODTREE P/G,"20 AVE, 37 ST, 38 ST",4,40.7779,-73.9023,Queens
R087,Dongan Playground,,4,40.5825,-74.0894,Staten Island
R090,Double Nickel Playground (P.S. 55),Koch Boulevard and Preston Avenue,2,40.5367,-74.1631,Staten Island
R067,General Douglas McArthur Park,,4,40.586,-74.1004,Staten Island
R025,Mahoney Playground,,6,40.6431,-74.0856,Staten Island
R076,Markham Playground (P.S. 51),,2,40.6243,-74.1456,Staten Island
R038A,Midland Field (J.H. 2),,4,40.577,-74.099,Staten Island
R073,Naples Playground (P.S. 48),,4,40.6026,-74.0906,Staten Island
R063,Oldtown Playground (P.S. 46),,2,40.5951,-74.0814,Staten Island
R045,Schmul Park,,4,40.5902,-74.188,Staten Island
R061,Stapleton Playground (P.S. 14),,4,40.6227,-74.0799,Staten Island
R069,Terrace Park (P.S. 35),,2,40.6138,-74.0989,Staten Island
R064,Todt Hill Houses Playground,,4,40.6089,-74.1193,Staten Island
B244,McDonald Playground,McDonald Avenue,6,40.6003,-73.9724,Brooklyn
X210,Governor Smith Playground,E. 152nd Street between Morris Avenue and Courtlandt Avenue,6,40.8193,-73.9202,Bronx
B431,Brooklyn Bridge Park,Pier 2,6,40.6995,-73.9979,Brooklyn
B132,Justice Gilbert Ramirez Park,McKibbin St. bet. White St. and Bogart St.,1,40.706,-73.934,Brooklyn
B132,Justice Gilbert Ramirez Park,McKibbin St. bet. White St. and Bogart St.,1,40.706,-73.934,Brooklyn
Q163,Beach 105th St. Courts,Shore Front Parkway & Beach 105 St,8,40.5812,-73.8242,Queens
X216,Abigail Playground,E 156 St bet. Tinton Av and Union Av,2,40.8174,-73.9047,Bronx
